31	17	19	26	37	1	1	1	26	22	29	21	22	32	1	1	33	36	1	19	18	26	1	1	1	1	29	1	1	35	1	24	33	24	1	1	1
1	30	29	1	32	1	1	1	21	35	34	36	23	1	1	36	1	26	1	24	21	27	1	1	31	1	1	1	32	1	25	1	1	1	27	1	1
36	26	18	29	30	1	25	21	20	26	28	17	1	35	1	1	18	31	1	1	34	37	31	1	1	22	1	1	1	22	1	1	1	31	1	22	1
1	26	1	18	30	1	18	27	32	30	1	35	24	1	1	36	21	18	24	21	1	28	1	1	33	1	21	1	34	37	1	28	1	1	1	1	1
32	16	1	33	30	19	16	27	16	35	1	37	19	1	26	36	1	22	31	22	1	27	1	25	1	1	1	1	27	22	1	33	19	1	1	1	1
20	24	36	33	24	34	22	16	28	24	18	34	15	1	16	19	1	24	1	31	21	23	28	31	1	1	1	1	1	28	1	1	1	36	1	1	1
34	1	23	28	25	19	21	1	21	23	27	1	1	1	1	26	1	30	1	1	35	31	28	1	1	1	1	1	1	32	32	19	36	1	1	36	1
35	24	1	18	28	1	18	18	29	25	17	33	36	15	1	21	29	1	25	13	36	29	22	32	13	1	22	1	1	34	25	1	15	1	1	1	1
32	28	24	20	25	1	15	14	1	28	1	32	1	34	1	30	21	25	15	18	35	21	25	1	1	1	21	1	1	36	18	1	31	15	1	36	1
35	28	21	22	37	16	17	1	30	22	31	33	22	1	1	28	1	19	1	22	22	36	22	33	1	1	1	1	19	1	1	17	1	1	1	31	1
15	1	28	35	27	21	33	28	25	31	1	17	17	1	15	1	1	17	1	34	1	35	26	1	1	31	13	20	21	21	13	1	1	35	21	28	1
34	30	15	37	1	26	17	1	15	36	21	27	23	1	1	27	21	31	20	23	1	35	1	1	1	19	1	32	23	29	1	1	1	32	1	17	1
25	24	28	31	22	30	25	1	1	25	21	1	1	1	33	1	36	19	1	37	18	32	28	1	1	23	1	1	1	19	17	35	1	34	1	1	1
30	35	1	24	22	1	1	22	16	25	33	17	14	25	36	1	17	28	20	1	33	37	1	29	1	27	1	20	17	32	1	14	1	1	31	1	1
36	32	17	17	25	1	1	20	1	29	17	33	20	1	1	1	1	27	34	29	1	28	20	37	35	1	1	1	20	31	20	26	1	1	1	1	1
19	28	17	1	27	23	23	19	1	22	1	1	1	28	19	1	35	16	1	28	32	32	18	28	1	35	1	15	23	34	35	1	1	1	26	14	1
26	31	35	20	1	20	1	16	31	19	1	25	16	20	1	27	16	30	1	24	34	27	35	31	15	27	37	1	20	1	1	1	1	1	1	1	1
34	35	1	35	24	31	1	17	15	26	15	30	1	1	1	26	1	24	1	17	22	37	31	20	1	22	1	1	31	20	17	1	1	26	1	29	1
28	37	23	22	31	1	21	1	26	17	14	17	14	1	34	14	24	17	1	26	17	30	29	1	1	34	31	34	24	1	1	1	1	31	13	1	1
