79	75	60	99	100	69	80	57	74	96	98	78	59	64	84	63	85	68	87	89	45	1	23	47	25	10	36	51	20	50	12	30	9	11	42	46	39	32	58	15	21	14	24	53	6	48	35	67	34	19	52	7	66	29	44	8	76	18	49	22	27	3	37	31	43	2	38	40	71	33	90	94	61	82	73	70	93	62	97	56	77	72	81	92	83	65	88	95	86	91	4	13	16	17	55	26	28	5	41	54
98	49	76	89	87	93	82	100	94	57	68	90	50	97	85	75	66	72	95	71	52	48	43	35	27	45	19	11	29	55	53	32	69	12	61	3	33	10	31	1	44	23	21	24	36	14	51	17	28	30	26	46	59	22	65	38	41	37	77	5	47	39	2	70	6	9	13	67	42	15	60	73	92	96	91	40	56	88	63	84	79	62	83	81	74	80	78	64	86	99	18	7	34	4	20	8	16	54	25	58
90	89	75	52	97	64	82	63	65	73	39	87	59	57	93	98	81	66	71	55	12	88	41	33	37	24	4	31	49	44	20	16	51	61	30	11	21	35	28	10	18	79	78	25	40	14	8	1	42	3	46	15	67	32	29	7	48	22	58	53	2	34	26	56	27	19	17	43	45	96	74	86	70	60	83	100	77	68	95	84	69	94	62	91	85	76	80	99	72	92	23	38	36	9	6	13	54	47	5	50
72	86	82	53	97	61	99	66	74	100	79	67	70	62	69	83	58	77	94	78	30	21	6	45	64	63	4	42	48	17	51	98	13	46	44	9	15	20	18	35	12	54	92	85	19	32	31	33	84	36	11	5	26	22	27	38	52	41	10	49	89	8	50	23	16	47	2	3	39	7	93	76	80	73	95	59	56	87	71	88	57	55	65	91	81	60	75	90	96	68	43	40	1	24	37	14	25	28	34	29
95	97	96	90	94	92	89	70	67	47	73	60	55	91	44	63	78	61	75	87	77	12	39	3	34	51	30	14	5	8	64	6	54	15	41	24	20	22	66	2	50	80	48	46	35	56	42	32	53	13	85	72	57	9	28	68	38	45	36	4	52	58	10	33	17	23	43	21	11	18	93	84	82	74	79	49	76	69	86	71	27	37	62	99	98	88	100	40	16	83	65	81	25	31	1	7	59	19	29	26
64	59	81	65	91	86	90	55	93	82	58	69	78	71	62	73	80	76	94	85	35	21	48	30	45	53	32	56	29	3	38	5	87	40	12	33	13	7	52	41	31	37	4	39	28	24	18	19	15	27	11	36	43	2	10	44	49	63	1	17	16	42	25	47	50	66	26	57	23	6	100	67	96	75	74	99	72	92	84	68	77	60	88	70	89	98	83	95	97	54	46	34	61	51	22	20	9	14	8	79
71	97	94	81	21	85	69	63	65	52	80	99	84	50	43	58	59	78	61	64	31	39	6	44	13	54	68	74	57	10	55	24	29	34	15	30	66	28	38	45	36	37	9	14	51	46	17	56	18	23	5	49	22	26	3	19	16	41	25	48	47	76	12	2	75	33	27	40	32	1	86	98	73	92	62	79	88	82	96	77	93	100	91	90	70	72	83	95	87	89	11	35	7	53	4	67	8	20	42	60
99	40	73	67	89	87	97	98	96	86	100	91	81	80	61	88	95	75	94	77	47	22	76	9	36	32	59	53	4	10	14	21	35	45	3	19	16	6	63	51	1	20	29	23	52	78	15	33	2	90	31	25	5	34	55	13	26	27	49	24	60	64	11	48	72	43	37	56	44	42	69	39	84	66	92	41	54	74	38	82	70	50	83	85	93	58	65	79	71	57	62	12	8	17	68	30	18	28	7	46
26	55	72	58	70	77	66	100	57	48	69	64	73	56	68	50	71	46	85	35	5	7	65	16	33	29	81	11	2	42	41	9	30	17	14	12	67	28	27	54	20	62	32	61	18	8	63	19	23	40	38	52	31	22	47	82	45	24	3	15	75	79	36	53	13	43	80	21	4	49	89	86	93	91	92	97	84	95	99	83	98	90	87	88	78	60	74	94	76	96	10	37	6	44	1	39	25	34	59	51
74	80	66	47	78	62	29	68	82	95	71	59	85	60	63	38	75	86	79	34	50	8	39	64	1	16	48	31	18	27	88	12	15	37	42	26	14	32	25	51	46	11	49	9	13	19	52	43	30	5	21	67	6	40	76	57	2	73	53	20	56	3	84	7	54	58	17	23	36	35	61	87	97	65	100	94	91	98	93	96	99	83	89	41	77	44	92	90	72	81	33	45	24	69	10	22	70	55	4	28
